"lat","lon","APN","SEQUENCE","RDNUM","RDPREDIR","RDPREFIX","RDNAME","RDSUFFIX","RDPOSTDIR","COMMUNITY","ADDRCOMB"
"-121.078994685862","40.2464109137712","106131003511","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003512","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003513","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078994685862","40.2464109137712","106131003514","0","5901",,"HIGHWAY","147",,,"EAST SHORE","5901 HIGHWAY 147"
"-121.078956673429","40.2462299341082","106131004000","0","5889",,"HIGHWAY","147",,,"EAST SHORE","5889 HIGHWAY 147"
"-121.078931604492","40.2460336336658","106131005000","0","5875",,"HIGHWAY","147",,,"EAST SHORE","5875 HIGHWAY 147"
"-121.078910286542","40.2458437483451","106131006000","0","5861",,"HIGHWAY","147",,,"EAST SHORE","5861 HIGHWAY 147"
"-121.078880109484","40.2456549976637","106131007000","0","5849",,"HIGHWAY","147",,,"EAST SHORE","5849 HIGHWAY 147"
"-121.078846630838","40.2454666815235","106131008000","0","5837",,"HIGHWAY","147",,,"EAST SHORE","5837 HIGHWAY 147"
"-121.078775973081","40.2452115912357","106131012000","0","5809",,"HIGHWAY","147",,,"EAST SHORE","5809 HIGHWAY 147"
"-121.078775973081","40.2452115912357","106131012000","1","5823",,"HIGHWAY","147",,,"EAST SHORE","5823 HIGHWAY 147"
"-121.077810296606","40.2467806691407","106132001000","0","5916",,"HIGHWAY","147",,,"EAST SHORE","5916 HIGHWAY 147"
"-121.077747768199","40.246514110562","106132002000","0","5955",,"HIGHWAY","147",,,"EAST SHORE","5955 HIGHWAY 147"
"-121.077095299807","40.2452956738725","106132005000","0","5810",,"HIGHWAY","147",,,"EAST SHORE","5810 HIGHWAY 147"
"-121.078070814772","40.2455956479324","106132009000","0","5834",,"HIGHWAY","147",,,"EAST SHORE","5834 HIGHWAY 147"
"-121.07740602014","40.2456811473851","106132010000","0","5842",,"HIGHWAY","147",,,"EAST SHORE","5842 HIGHWAY 147"
"-121.077984582217","40.2460622041879","106132017000","0","5868",,"HIGHWAY","147",,,"EAST SHORE","5868 HIGHWAY 147"
"-121.077380103818","40.2448674395379","106140001000","0","5782",,"HIGHWAY","147",,,"EAST SHORE","5782 HIGHWAY 147"
"-121.07700163396","40.2446415273809","106140003000","0","5766",,"HIGHWAY","147",,,"EAST SHORE","5766 HIGHWAY 147"
"-121.077200399831","40.2440665511492","106140005000","0","5726",,"HIGHWAY","147",,,"EAST SHORE","5726 HIGHWAY 147"
"-121.077144273331","40.2438152527375","106140006000","0","5706",,"HIGHWAY","147",,,"EAST SHORE","5706 HIGHWAY 147"
"-121.077086265493","40.2435706248509","106140007000","0","5688",,"HIGHWAY","147",,,"EAST SHORE","5688 HIGHWAY 147"
"-121.077038354531","40.2433141849664","106140008000","0","5670",,"HIGHWAY","147",,,"EAST SHORE","5670 HIGHWAY 147"
"-121.077006488707","40.2430540620067","106140009000","0","5650",,"HIGHWAY","147",,,"EAST SHORE","5650 HIGHWAY 147"
"-121.076392124122","40.2443851640064","106140010000","0","5730",,"HIGHWAY","147",,,"EAST SHORE","5730 HIGHWAY 147"
"-121.07729173488","40.2443294029524","106140011000","0","5760",,"HIGHWAY","147",,,"EAST SHORE","5760 HIGHWAY 147"
"-121.07729173488","40.2443294029524","106140011000","1","5744",,"HIGHWAY","147",,,"EAST SHORE","5744 HIGHWAY 147"
"-121.07729173488","40.2443294029524","106140011000","2","5750",,"HIGHWAY","147",,,"EAST SHORE","5750 HIGHWAY 147"
"-121.076988471003","40.2426536349542","106150001000","0","5622",,"HIGHWAY","147",,,"EAST SHORE","5622 HIGHWAY 147"
"-121.076988471003","40.2426536349542","106150001000","1","5592",,"HIGHWAY","147",,,"EAST SHORE","5592 HIGHWAY 147"
"-121.076675456176","40.2417709865874","106150003000","0","5554",,"HIGHWAY","147",,,"EAST SHORE","5554 HIGHWAY 147"
